year,season,datasource,totalmonarchs,countsdone
1997,winter,xerces,1235490,101
1998,winter,xerces,564349,111
1999,winter,xerces,267574,118
2000,winter,xerces,390057,139
2001,winter,xerces,209570,126
2002,winter,xerces,99353,94
2003,winter,xerces,254378,123
2004,winter,xerces,205085,83
2005,winter,xerces,218679,91
2006,winter,xerces,221058,87
2007,winter,xerces,86437,92
2008,winter,xerces,131889,116
2009,winter,xerces,58468,76
2010,winter,xerces,143204,114
2011,winter,xerces,222525,129
2012,winter,xerces,144812,136
2013,winter,xerces,211275,163
2014,winter,xerces,234731,185
2015,winter,xerces,292888,187
2016,winter,xerces,298464,253
2017,winter,xerces,192624,263
2018,winter,xerces,27721,213
2019,winter,xerces,29436,243
2020,winter,xerces,1870,246
